,abs -- СРЛЯ,av % -- СРЛЯ,abs -- Роговатка,av % -- Роговатка,abs -- Вадюга,av % -- Вадюга,abs -- Хиславичи,av % -- Хиславичи,abs -- Лужниково,av % -- Лужниково,abs -- ШМП,av % -- ШМП,abs -- Городок,av % -- Городок,abs -- Михайлов,av % -- Михайлов,abs -- Малинино,av % -- Малинино,abs -- Ильмень,av % -- Ильмень,abs -- Веегора,av % -- Веегора,abs -- Мосеево,av % -- Мосеево,abs -- Сцепное,av % -- Сцепное,abs -- Лух_и_Теза,av % -- Лух_и_Теза,abs -- Соболево,av % -- Соболево,abs -- Нехочи,av % -- Нехочи,abs -- Дон,av % -- Дон,abs -- Горяны,av % -- Горяны,abs -- Опочка,av % -- Опочка,abs -- Ламки,av % -- Ламки,abs -- Краснолипье,av % -- Краснолипье,abs -- Владимирское,av % -- Владимирское,abs % -- Заонежье,av % -- Заонежье,abs % -- Спиридонова Буда,av % -- Спиридонова Буда,abs % -- Берно,av % -- Берно
t0 (начало),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
t1 (начало подъема),"11,06",6%,"29,21428571",16%,"29,04",16%,"78,16666667",37%,"21,85185185",14%,"64,11904762",33%,"89,625",46%,"74,03125",36%,"37,625",28%,"25,20689655",15%,"49,57",26%,"38,73",18%,"93,30",51%,"28,07",17%,"10,94",7%,"82,47",34%,"53,60",31%,"27,70",16%,"62,28",30%,"86,75",43%,"73,75",36%,"28,16",16%,"11,00",11%,"25,50",28%,"24,50",14%
t2 (конец подъема),"156,22",89%,"78,32142857",44%,"118,48",63%,"161,0952381",76%,122,76%,"144,5714286",74%,"174,5",91%,"141,75",68%,"107,025",79%,"98,75862069",58%,"132,58",71%,"94,60",43%,"121,00",66%,"111,93",68%,"130,50",85%,"167,11",70%,"125,80",72%,"111,37",66%,"128,90",63%,"157,31",78%,"144,50",71%,"97,42",55%,"30,00",30%,"60,59",67%,"137,13",76%
t3 (начало падения),"167,63",95%,"135,75",76%,"148,8",80%,"198,1428571",93%,"149,4444444",93%,"172,9761905",88%,"189,6875",98%,"203,03125",98%,"121,7",90%,"161,4827586",94%,"160,95",86%,"129,77",59%,"165,18",90%,"158,20",97%,"146,77",96%,"232,32",97%,"157,16",90%,"168,81",100%,"182,4102564",89%,"191,81",95%,"201,00",99%,"165,91",93%,"63,00",63%,"83,76",93%,"170,29",95%
t4 (начало хвоста),"176,37",100%,"178,3928571",100%,"186,84",100%,"212,5238095",100%,"161,4814815",100%,"195,5",100%,"192,8125",100%,"206,96875",100%,"135,9",100%,"171,6896552",100%,"187,30",100%,"218,20",100%,"184,36",100%,"163,90",100%,"153,41",100%,"240,21",100%,"174,84",100%,"168,81",100%,"205,2820513",100%,"201,00",100%,"203,81",100%,"178,09",100%,"100,00",100%,"90,21",100%,"179,75",100%
t5 (конец хвоста),"199,71",113%,"212,2142857",119%,"232,24",124%,"234,952381",111%,189,117%,"216,952381",111%,"215,25",112%,"233,78125",113%,"166,1",122%,"203,6896552",119%,"216,05",115%,"269,73",124%,"202,00",110%,"194,90",119%,"172,05",112%,"273,89",114%,"195,88",112%,"206,63",122%,23118%,113%,"232,25",116%,"253,81",125%,"204,60",115%,"120,00",120%,"104,54",116%,"206,17",115%
t2-t3,"11,41",6%,"57,42857143",32%,"30,32",16%,"37,04761905",17%,"27,44444444",17%,"28,4047619",15%,"15,1875",8%,"61,28125",30%,"14,675",11%,"62,72413793",37%,"28,37",15%,"35,17",16%,"44,18",24%,"46,27",28%,"16,27",11%,"65,21",27%,"31,36",18%,"57,44",34%,"53,51",26%,"34,50",17%,"56,50",28%,"68,49",38%,"33,00",33%,"23,16",26%,"33,17",18%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0 (начало),"189,090",100%,"233,6071429",100%,"212,2",100%,"187,5238095",100%,"199,2962963",100%,172,100%,"189,71875",100%,"218,65625",100%,209,100%,"216,6896552",100%,"199,85",100%,"219,40",100%,"258,24",100%,"238,73",102%,"191,64",100%,"184,11",100%,"174,12",100%,"200,70",100%,"229,205128",100%,"216,50",111%,"243,81",111%,"191,24",103%,,113%,"101,89",100%,"191,42",100%
f1 (начало подъема),"188,200",100%,"235,2142857",101%,"207,64",98%,"187,0238095",100%,"192,8518519",97%,195,113%,"188,0625",99%,"223,84375",102%,226,108%,"215,7586207",100%,"196,78",98%,"220,67",101%,"282,85",110%,"235,67",100%,"193,59",101%,"185,74",101%,"175,92",101%,"205,00",102%,"236,871795",103%,"206,94",106%,"229,00",104%,"185,76",100%,,100%,"102,31",100%,"207,33",108%
f2 (конец подъема),"345,730",183%,"270,2142857",116%,"285,52",135%,"302,8809524",162%,305,153%,265,154%,"270,125",142%,"303,09375",139%,284,136%,"298,5344828",138%,"270,34",135%,"275,17",125%,"395,97",153%,"336,27",143%,"350,77",183%,"229,32",125%,"248,36",143%,"342,67",171%,"285,307692",124%,"305,94",157%,"313,56",143%,"242,22",131%,,101%,"146,01",143%,"295,63",154%
f3 (начало падения),"344,950",182%,"267,3571429",114%,"284,92",134%,"301,0952381",161%,"303,4814815",152%,268,156%,"272,53125",144%,"308,375",141%,281,134%,"300,8275862",139%,"269,76",135%,"274,60",125%,"400,67",155%,"334,37",142%,"350,41",183%,"227,63",124%,"247,96",142%,"343,11",171%,"302,97",132%,"306,00",157%,"308,69",141%,"244,11",132%,,145%,"146,77",144%,"299,29",156%
f4 (начало хвоста),"336,460",178%,"230,5714286",99%,"255,52",120%,"286,7142857",153%,"294,9259259",148%,257,149%,"267,5",141%,"306,0625",140%,277,132%,"286,2586207",132%,"232,11",116%,"200,63",91%,"361,97",140%,"329,33",140%,"341,68",178%,"222,58",121%,"228,88",131%,"341,44",170%,"268,92",117%,"301,50",155%,"305,94",140%,"234,91",127%,,144%,"140,61",138%,"288,29",151%
f5 (конец хвоста),"326,790",173%,"208,1785714",89%,"252,12",119%,"271,6428571",145%,"281,962963",141%,258,150%,"256,125",135%,"305,15625",140%,272,130%,"273,0172414",126%,"219,56",110%,"183,40",84%,"323,64",125%,"325,57",138%,"325,95",170%,"202,53",110%,"225,44",129%,"331,73",165%,"231,46",101%,"289,75",149%,"305,94",136%,"227,62",123%,,141%,"133,55",131%,"277,83",145%